,id,listing_url,last_scraped,name,host_id,host_name,host_since,host_location,host_total_listings_count,neighbourhood_cleansed,latitude,longitude,room_type,accommodates,bedrooms,price,minimum_nights_avg_ntm,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,license,instant_bookable,calculated_host_listings_count,reviews_per_month,days_rented_ltm,rounded_revenue_ltm,occupancy_rate_approx,is_hotel,is_entire,many_listings,only_1_listing,only_2_listings,host_florence,has_liscense,is_instant_bookable,dist_duomo,is_centro,is_gavinana,is_isolotto,is_rifredi,is_campo,listing_revenue_exceed_LTR,effected_by_policy_1,effected_by_policy_2,effected_by_policy_3,commercial,very_likely_commercial,tourist_tax,unpaid_tourist_tax,geom
3178,14950342,https://www.airbnb.com/rooms/14950342,2021-12-17,comoda camera con bagno privato,94091985,Antonino,2016-09-07,"Florence, Tuscany, Italy",1,Rifredi,43.82019,11.21851,Private room,1,1.0,20.0,1.0,10,10,10,268,40,12,2,,f,1,0.69,19.200000000000003,384.0,5.26027397260274,0,0,0,1,0,1,0,0,6039.712882805356,0,0,0,1,0,0,1,0,0,0,0,115.20000000000002,115.20000000000002,POINT (11.2185 43.8202)
3179,14959913,https://www.airbnb.com/rooms/14959913,2021-12-17,La casa dei sogni !!,46641435,Maria,2015-10-15,"Florence, Tuscany, Italy",7,Campo di Marte,43.77639,11.27355,Entire home/apt,4,1.0,36.0,1.0,5,35,65,65,144,13,0,,f,7,2.26,20.8,748.8,5.698630136986302,0,1,1,0,0,1,0,0,1459.4531063350946,0,0,0,0,1,0,1,1,1,1,0,124.80000000000001,124.80000000000001,POINT (11.2736 43.7764)
3180,14964973,https://www.airbnb.com/rooms/14964973,2021-12-17,Under the shadows of the Dome,93615282,Filippo,2016-09-05,"Metropolitan City of Florence, Tuscany, Italy",1,Campo di Marte,43.78278,11.26598,Private room,2,1.0,39.0,2.0,17,47,77,330,125,14,1,,t,1,1.97,22.400000000000002,873.6,6.136986301369864,0,0,0,1,0,1,0,1,1342.484408323252,0,0,0,0,1,0,1,0,0,0,0,134.4,134.4,POINT (11.266 43.7828)
3181,14971650,https://www.airbnb.com/rooms/14971650,2021-12-17,Elegant Flat In Historic Palazzo Near PonteVecchio,92288914,White River Srl,2016-08-28,"Florence, Tuscany, Italy",23,Centro Storico,43.76827,11.24923,Entire home/apt,3,1.0,44.0,8.4,12,12,12,233,127,12,0,,t,23,1.99,50.400000000000006,2217.6,13.808219178082194,0,1,1,0,0,1,0,1,764.924281315304,1,0,0,0,0,0,1,1,1,1,1,302.40000000000003,302.40000000000003,POINT (11.2492 43.7683)
3182,14973059,https://www.airbnb.com/rooms/14973059,2021-12-17,Santa Maria Terrace - 3 Bedroom by Ponte Vecchio,65222778,Apartments_Florence,2016-03-31,"Florence, Tuscany, Italy",37,Centro Storico,43.768677,11.253519,Entire home/apt,6,3.0,287.0,3.0,19,49,79,336,49,3,0,048017LTN4052,t,37,0.78,4.800000000000001,1377.6,1.315068493150685,0,1,1,0,0,1,1,1,530.4766328327886,1,0,0,0,0,0,0,1,1,1,1,28.800000000000004,302.40000000000003,POINT (11.2535 43.7687)
3183,14976201,https://www.airbnb.com/rooms/14976201,2021-12-17,Nel cuore di San Niccolo,72118666,Duccio,2016-05-15,"Florence, Tuscany, Italy",2,Centro Storico,43.76391,11.26052,Entire home/apt,2,1.0,45.0,1.0,10,40,70,344,199,13,1,,t,2,3.22,20.8,936.0,5.698630136986302,0,1,0,0,1,1,0,1,1083.9998221495869,1,0,0,0,0,0,1,1,0,0,0,124.80000000000001,124.80000000000001,POINT (11.2605 43.7639)
3186,14987996,https://www.airbnb.com/rooms/14987996,2021-12-17,Elegant Florentine Studio near Ponte Vecchio,92288914,White River Srl,2016-08-28,"Florence, Tuscany, Italy",23,Centro Storico,43.76827,11.24923,Entire home/apt,2,1.0,40.0,3.0,26,56,86,361,136,10,1,,t,23,2.15,16.0,640.0,4.383561643835616,0,1,1,0,0,1,0,1,764.924281315304,1,0,0,0,0,0,1,1,1,1,1,96.0,96.0,POINT (11.2492 43.7683)
3188,14996999,https://www.airbnb.com/rooms/14996999,2021-12-17,Pretty apartment in the heart of Florence,92115289,Maria Cristina,2016-08-27,"Florence, Tuscany, Italy",1,Campo di Marte,43.77131,11.2742,Entire home/apt,4,1.0,40.0,2.0,8,29,59,273,228,4,4,,t,1,3.58,6.4,256.0,1.7534246575342467,0,1,0,1,0,1,0,1,1478.7613347922497,0,0,0,0,1,0,1,1,0,0,0,38.400000000000006,38.400000000000006,POINT (11.2742 43.7713)
3192,15018684,https://www.airbnb.com/rooms/15018684,2021-12-17,FLORENCE APARTMENT - MODERN,94792613,Bernardo,2016-09-12,"Florence, Tuscany, Italy",2,Isolotto Legnaia,43.77348,11.22024,Entire home/apt,4,1.0,46.0,2.0,14,44,74,74,146,22,4,,t,2,2.61,35.2,1619.2,9.643835616438356,0,1,0,0,1,1,0,1,2879.381797507713,0,0,1,0,0,0,1,1,0,0,0,211.20000000000002,211.20000000000002,POINT (11.2202 43.7735)
3193,15037612,https://www.airbnb.com/rooms/15037612,2021-12-17,Diana Florence,19392584,Piergiorgio,2014-08-03,"Lodi, Lombardy, Italy",3,Centro Storico,43.77659,11.25307,Entire home/apt,6,2.0,84.0,2.0,1,12,22,140,95,7,0,,t,1,1.49,11.200000000000001,940.8,3.068493150684932,0,1,1,0,0,0,0,1,453.8803214260491,1,0,0,0,0,0,1,1,1,1,1,67.2,67.2,POINT (11.2531 43.7766)
