,id,listing_url,last_scraped,name,host_id,host_name,host_since,host_location,host_total_listings_count,neighbourhood_cleansed,latitude,longitude,room_type,accommodates,bedrooms,price,availability_30,availability_60,availability_90,availability_365,number_of_reviews_ltm,number_of_reviews_l30d,license,instant_bookable,calculated_host_listings_count,reviews_per_month
8612,32335090,https://www.airbnb.com/rooms/32335090,2020-09-01,Gianburrasca,19816465,Andrea,2014-08-11,"Florence, Tuscany, Italy",1.0,Campo di Marte,43.78256,11.2754,Private room,2,3.0,80.0,29,59,89,179,0,0,,f,1,0.11
8613,32345972,https://www.airbnb.com/rooms/32345972,2020-09-01,Green corner apartment in Florence city,241862044,Simona E Giada,2019-02-08,IT,1.0,Gavinana Galluzzo,43.75344,11.23246,Entire home/apt,6,2.0,70.0,26,56,86,361,5,0,,t,1,1.84
8614,32347020,https://www.airbnb.com/rooms/32347020,2020-08-31,Mamo Florence – Belle Donne Audrey Apartment,218215146,Belle Donne Apartments,2018-10-01,IT,2.0,Centro Storico,43.77378,11.25136,Entire home/apt,6,2.0,70.0,0,0,0,0,7,0,,t,2,0.7
8615,32347336,https://www.airbnb.com/rooms/32347336,2020-09-01,TIZIANO BY THE DUOMO - BUFALINI APARTMENTS,233483862,Cinzia Chiaramonti,2018-12-31,IT,12.0,Centro Storico,43.77419,11.25952,Entire home/apt,4,1.0,80.0,24,54,84,359,1,0,,f,10,0.2
8616,32348603,https://www.airbnb.com/rooms/32348603,2020-09-01,LEONARDO NEAR THE DOME - BUFALINI APARTMENTS,233483862,Cinzia Chiaramonti,2018-12-31,IT,12.0,Centro Storico,43.77494,11.25732,Entire home/apt,4,1.0,110.0,27,27,49,81,0,0,,f,10,0.13
8617,32352865,https://www.airbnb.com/rooms/32352865,2020-09-01,GIOTTO NEAR THE DOME - BUFALINI APARTMENTS,233483862,Cinzia Chiaramonti,2018-12-31,IT,12.0,Centro Storico,43.77378,11.25833,Entire home/apt,4,1.0,70.0,15,45,75,350,0,0,,f,10,
8618,32355529,https://www.airbnb.com/rooms/32355529,2020-09-01,Mamo Florence - Parione Roof Terrace,242933481,Parione Roof Terrace,2019-02-13,IT,1.0,Centro Storico,43.77168,11.24879,Entire home/apt,7,3.0,253.0,30,60,83,217,17,0,,t,1,2.02
8619,32355752,https://www.airbnb.com/rooms/32355752,2020-09-01,La Casina di San Frediano,242934864,Francesca,2019-02-13,"Bagno a Ripoli, Tuscany, Italy",1.0,Centro Storico,43.76862,11.24515,Entire home/apt,4,1.0,60.0,2,2,2,150,19,0,,t,1,2.97
8620,32356244,https://www.airbnb.com/rooms/32356244,2020-09-01,Mamo Florence - Vecchietti Deluxe Apartment,242939574,Vecchietti,2019-02-13,IT,1.0,Centro Storico,43.77327,11.2534,Entire home/apt,8,4.0,236.0,30,30,30,30,19,0,,t,1,1.55
8621,32372506,https://www.airbnb.com/rooms/32372506,2020-09-01,Private room BUON VIAGGIO,243077887,Duccio,2019-02-14,"Florence, Tuscany, Italy",1.0,Rifredi,43.79686,11.18948,Private room,2,1.0,30.0,28,58,88,363,3,0,,f,1,0.67
8622,32377650,https://www.airbnb.com/rooms/32377650,2020-09-01,Vasari Suite - Lovely 1bdr Ponte Vecchio Florence,5056483,Halldis Apartments & Villas,2013-02-12,Head of Innovation & Revenue,706.0,Centro Storico,43.76796,11.25497,Entire home/apt,4,1.0,167.0,30,60,75,335,1,0,,t,113,0.25
8623,32377681,https://www.airbnb.com/rooms/32377681,2020-09-01,Margherita Spacious Family Apt at a 5★ Location🍁,488317,Diana,2011-04-06,"Florence, Toscana, Italy",44.0,Centro Storico,43.76576,11.24579,Entire home/apt,6,3.0,107.0,30,52,82,354,7,1,,t,43,0.78
8624,32378263,https://www.airbnb.com/rooms/32378263,2020-08-31,"Apt. ""Fiordaliso"", Pauline Suites Palazzo Borghese",8204522,Elena,2013-08-16,"Florence, Tuscany, Italy",7.0,Centro Storico,43.77195,11.25833,Entire home/apt,2,,77.0,0,0,0,0,16,0,,f,8,1.26
8625,32379153,https://www.airbnb.com/rooms/32379153,2020-09-01,Cosy room,77877434,Moni,2016-06-15,"Bagno a Ripoli, Tuscany, Italy",0.0,Gavinana Galluzzo,43.76094,11.27869,Private room,2,1.0,40.0,0,30,60,150,0,0,,f,1,
8626,32379397,https://www.airbnb.com/rooms/32379397,2020-09-01,Amazing apt with terrace & Wifi,107247539,"Loic, Estelle & Co",2016-12-14,"Paris, Île-de-France, France",405.0,Rifredi,43.80884,11.23715,Entire home/apt,4,2.0,71.0,30,60,90,365,5,0,,t,3,0.48
8627,32379977,https://www.airbnb.com/rooms/32379977,2020-09-01,La casa del cuore,115019939,Marzia,2017-02-05,"Florence, Tuscany, Italy",1.0,Centro Storico,43.76774,11.24438,Entire home/apt,3,1.0,40.0,30,46,76,348,21,1,,t,1,3.56
8628,32382434,https://www.airbnb.com/rooms/32382434,2020-09-01,La perla di San Frediano,123275032,Silvia,2017-03-29,"Livorno, Tuscany, Italy",2.0,Isolotto Legnaia,43.77082,11.23501,Entire home/apt,8,3.0,100.0,24,54,84,359,7,0,,t,2,1.38
8629,32391148,https://www.airbnb.com/rooms/32391148,2020-09-01,Residenza Galleria dell'Accademia - Masaccio,41985760,Residenze D'Epoca Collection,2015-08-20,"Florence, Tuscany, Italy",49.0,Centro Storico,43.77567,11.26063,Private room,2,1.0,56.0,28,58,88,332,2,0,,t,44,0.22
8630,32393400,https://www.airbnb.com/rooms/32393400,2020-08-31,THE BEST STAY IN THE HEART OF FLORENCE,24510525,Susanna,2014-12-05,"Florence, Tuscany, Italy",3.0,Centro Storico,43.77048,11.26131,Entire home/apt,2,1.0,65.0,28,58,88,179,6,0,,f,3,1.14
8631,32394516,https://www.airbnb.com/rooms/32394516,2020-08-31,GIGLIO COURTYARD - Duomo Stylish Apartment!,76556384,Andrea,2016-06-08,"Florence, Tuscany, Italy",64.0,Centro Storico,43.77211,11.26431,Entire home/apt,6,2.0,77.0,0,0,15,290,10,1,,t,38,1.23
8632,32396275,https://www.airbnb.com/rooms/32396275,2020-09-01,Mamo Florence - San Pancrazio Apartment,243269406,Mamo Florence,2019-02-15,IT,1.0,Centro Storico,43.7723,11.24907,Entire home/apt,6,2.0,75.0,17,29,29,29,29,0,,t,1,2.65
8633,32396754,https://www.airbnb.com/rooms/32396754,2020-09-01,CASA SUSY,81475672,Susy,2016-07-03,,1.0,Gavinana Galluzzo,43.73114,11.23073,Entire home/apt,2,1.0,60.0,29,59,89,179,0,0,,t,1,0.07
8634,32397460,https://www.airbnb.com/rooms/32397460,2020-09-01,Guelfa 58,5228552,Stefano,2013-02-25,"Florence, Tuscany, Italy",55.0,Centro Storico,43.77897,11.25313,Entire home/apt,6,2.0,50.0,30,58,87,362,1,0,,t,43,0.32
8635,32398278,https://www.airbnb.com/rooms/32398278,2020-08-31,SKY-ROOM 10 minutes walk to the center and station,5096854,Valentina,2013-02-15,"Florence, Tuscany, Italy",1.0,Centro Storico,43.78384,11.23948,Private room,3,1.0,26.0,0,0,0,0,17,0,,f,2,2.4
8636,32398584,https://www.airbnb.com/rooms/32398584,2020-09-01,24h check-in Modern flat SMN train station @Maso,217556243,Dorelkis Andreina,2018-09-27,"Florence, Tuscany, Italy",7.0,Centro Storico,43.77223,11.24498,Entire home/apt,2,1.0,87.0,29,59,89,168,11,0,,t,6,1.63
8637,32399410,https://www.airbnb.com/rooms/32399410,2020-09-01,Hs4U Raffaello Fashion & luxury apt with parking,151896777,Reservation,2017-09-24,"Pistoia, Tuscany, Italy",109.0,Rifredi,43.79187,11.21966,Entire home/apt,9,2.0,81.0,29,59,82,355,0,0,,t,17,0.36
8638,32400252,https://www.airbnb.com/rooms/32400252,2020-08-31,Prestigious New Apartment with Unique Jacuzzi,97217593,Domux,2016-09-29,"Florence, Tuscany, Italy",11.0,Centro Storico,43.77602,11.25834,Hotel room,4,2.0,178.0,30,60,90,365,3,0,,t,5,0.25
8639,32401487,https://www.airbnb.com/rooms/32401487,2020-09-01,7 minuti dal centro FIRENZE- LOVELY green apt,243313249,Natalia & Alberto,2019-02-15,DE,1.0,Isolotto Legnaia,43.758,11.21288,Entire home/apt,4,2.0,75.0,30,60,90,180,2,0,,t,1,0.26
8640,32402164,https://www.airbnb.com/rooms/32402164,2020-09-01,althaea rosea loft,19699904,Annarosa,2014-08-08,"Florence, Tuscany, Italy",3.0,Centro Storico,43.77478,11.24388,Entire home/apt,2,1.0,65.0,20,50,80,260,17,0,,f,2,2.31
8641,32402944,https://www.airbnb.com/rooms/32402944,2020-08-31,Prestigious New Apartment with Unique Jacuzzi,97217593,Domux,2016-09-29,"Florence, Tuscany, Italy",11.0,Centro Storico,43.77602,11.25834,Hotel room,2,1.0,136.0,30,60,90,365,0,0,,t,5,0.07
8642,32410544,https://www.airbnb.com/rooms/32410544,2020-09-01,"Cradle of Galileo, with private bathroom",31312727,Gennaro,2015-04-15,"Pyrmont, New South Wales, Australia",5.0,Centro Storico,43.765,11.2468,Private room,2,1.0,20.0,0,0,0,212,11,1,,t,2,2.0
8643,32411527,https://www.airbnb.com/rooms/32411527,2020-09-01,ELISON HOUSE nuovo centralissimo wi fi gratis!,17095486,Sibilla,2014-06-22,"Florence, Tuscany, Italy",16.0,Centro Storico,43.78237,11.23309,Entire home/apt,6,3.0,110.0,30,60,90,365,5,0,,t,14,0.84
8644,32412298,https://www.airbnb.com/rooms/32412298,2020-08-31,Francebia apartment Santa Maria Novella station,202060701,Francesco,2018-07-13,"Florence, Tuscany, Italy",1.0,Centro Storico,43.78255,11.24391,Entire home/apt,4,2.0,53.0,0,0,0,0,24,0,04817LTN0751,f,1,2.27
8645,32413734,https://www.airbnb.com/rooms/32413734,2020-08-31,Guest house Residenza Bellieri,243422531,Residenza Bellieri,2019-02-16,IT,1.0,Rifredi,43.78503,11.26062,Entire home/apt,6,1.0,102.0,0,0,0,0,0,0,,t,1,
8646,32413923,https://www.airbnb.com/rooms/32413923,2020-09-01,Opera Stylish - 2 bedrooms by Santa Maria Novella,65222778,Apartments_Florence,2016-03-31,"Florence, Tuscany, Italy",57.0,Centro Storico,43.77977,11.24138,Entire home/apt,5,2.0,238.0,0,0,0,0,0,0,,t,50,
8647,32416455,https://www.airbnb.com/rooms/32416455,2020-09-01,Embrace Florence on the Duomo's Terrace,97217593,Domux,2016-09-29,"Florence, Tuscany, Italy",11.0,Centro Storico,43.77169,11.25396,Hotel room,2,1.0,198.0,24,54,83,358,1,0,,t,5,0.67
8648,32417112,https://www.airbnb.com/rooms/32417112,2020-09-01,Admire Florence from your Dream Terrace,97217593,Domux,2016-09-29,"Florence, Tuscany, Italy",11.0,Centro Storico,43.77172,11.25401,Hotel room,2,1.0,168.0,23,52,81,356,0,0,,t,5,
8649,32418095,https://www.airbnb.com/rooms/32418095,2020-09-01,Calzaiuoli Apartment,238706296,Serena,2019-01-24,IT,3.0,Centro Storico,43.77121,11.25454,Entire home/apt,9,3.0,280.0,28,58,88,178,1,0,,f,3,0.28
8650,32418512,https://www.airbnb.com/rooms/32418512,2020-09-01,Adorable Florence Apartment,21360106,Michele,2014-09-15,IT,5.0,Centro Storico,43.77903,11.25555,Entire home/apt,4,1.0,52.0,29,56,86,266,31,0,,t,4,3.91
8651,32419413,https://www.airbnb.com/rooms/32419413,2020-09-01,Unique Flat - Private Terrace and Gothic Details,243126176,Nina,2019-02-14,"Paris, Île-de-France, France",1.0,Centro Storico,43.77257,11.24765,Entire home/apt,6,2.0,130.0,20,27,27,27,7,2,,t,1,1.2
8652,32419740,https://www.airbnb.com/rooms/32419740,2020-09-01,Florence Art Suite Michelangelo,243476157,Fornace,2019-02-16,"Florence, Tuscany, Italy",0.0,Centro Storico,43.76425,11.26936,Entire home/apt,2,1.0,200.0,29,59,89,364,0,0,,f,6,
8653,32420029,https://www.airbnb.com/rooms/32420029,2020-09-01,Florence Art Suite Ghiberti,243476157,Fornace,2019-02-16,"Florence, Tuscany, Italy",0.0,Centro Storico,43.76271,11.26914,Entire home/apt,2,1.0,200.0,29,59,89,364,0,0,,f,6,0.06
8654,32420133,https://www.airbnb.com/rooms/32420133,2020-09-01,Florence Art Suite Donatello,243476157,Fornace,2019-02-16,"Florence, Tuscany, Italy",0.0,Centro Storico,43.76439,11.26949,Entire home/apt,2,1.0,200.0,29,59,89,364,0,0,,f,6,0.06
8655,32424278,https://www.airbnb.com/rooms/32424278,2020-09-01,Boccaccio 54 Up,86561919,Annalisa,2016-07-28,"Florence, Tuscany, Italy",4.0,Campo di Marte,43.78952,11.27247,Entire home/apt,4,2.0,53.0,17,47,48,48,3,0,,t,4,0.31
8656,32433742,https://www.airbnb.com/rooms/32433742,2020-09-01,The Ginori Apartment,243618952,Elena & Matias,2019-02-17,IT,1.0,Centro Storico,43.7757,11.25462,Entire home/apt,4,1.0,73.0,26,56,86,337,2,0,,t,1,0.33
8657,32453292,https://www.airbnb.com/rooms/32453292,2020-08-31,❦La Casa dell'Olivuzzo❦,243808250,Virginia,2019-02-18,"Florence, Tuscany, Italy",1.0,Isolotto Legnaia,43.76686,11.21744,Entire home/apt,6,2.0,146.0,0,0,0,0,11,0,,t,1,2.14
