,id,listing_url,name,host_id,host_name,host_since,host_location,host_total_listings_count,neighbourhood_cleansed,latitude,longitude,room_type,accommodates,bedrooms,price,availability_30,availability_60,availability_90,availability_365,number_of_reviews_ltm,number_of_reviews_l30d,license,instant_bookable,calculated_host_listings_count,reviews_per_month
2058,8113222,https://www.airbnb.com/rooms/8113222,Art Garden Zanobi FLAT 3,35940083,Anisia,2015-06-16,"Florence, Tuscany, Italy",15,Centro Storico,43.7786,11.25502,Entire home/apt,5,2.0,$86.00,0,0,0,214,1,0,,f,13,3.33
2059,8114565,https://www.airbnb.com/rooms/8114565,B&B BandBFirenze 8 Cittadella 8,42848717,Niccolò,2015-08-29,"Florence, Tuscany, Italy",2,Centro Storico,43.78096,11.24296,Private room,2,1.0,$59.00,23,53,83,358,0,0,,f,1,0.01
2060,8121632,https://www.airbnb.com/rooms/8121632,home sweet home.casa vacanza Iacopo,37814294,Iacopo,2015-07-07,"Florence, Tuscany, Italy",1,Rifredi,43.7894,11.2395,Entire home/apt,2,1.0,$66.00,0,0,0,166,0,0,,f,1,0.11
2061,8123266,https://www.airbnb.com/rooms/8123266,Guicciardini Home,26567697,Silvia,2015-01-23,"Sesto Fiorentino, Tuscany, Italy",1,Centro Storico,43.76959,11.24679,Entire home/apt,4,2.0,$92.00,11,41,69,129,6,0,,t,1,2.12
2062,8130922,https://www.airbnb.com/rooms/8130922,Bardi Palace,3314526,Alessandro,2012-08-20,"Florence, Tuscany, Italy",64,Centro Storico,43.7658,11.25497,Entire home/apt,6,3.0,$311.00,0,0,0,0,0,0,,f,36,0.95
2063,8137979,https://www.airbnb.com/rooms/8137979,DAMASCATO Your apartment in the heart of the city,42972746,Sabrina,2015-08-31,"Florence, Tuscany, Italy",8,Centro Storico,43.76708,11.24966,Entire home/apt,2,1.0,$90.00,0,0,0,170,0,0,,f,8,0.04
2064,8142822,https://www.airbnb.com/rooms/8142822,Terrazza vista Duomo,15960426,Guidetta,2014-05-25,"Florence, Tuscany, Italy",6,Centro Storico,43.77125,11.26063,Entire home/apt,4,1.0,$153.00,9,39,69,327,1,0,,f,6,0.65
2065,8154752,https://www.airbnb.com/rooms/8154752,"Florence Center NEW""La Ghibellina""",5104015,Francesco,2013-02-16,"Florence, Tuscany, Italy",9,Centro Storico,43.77643,11.25629,Private room,4,1.0,$44.00,10,10,10,271,84,4,,t,8,5.99
2066,8158135,https://www.airbnb.com/rooms/8158135,Appartamento Giglio Rosa,43065641,Rita,2015-09-01,"Florence, Tuscany, Italy",0,Campo di Marte,43.79095,11.26867,Entire home/apt,4,2.0,$75.00,0,0,0,0,0,0,,f,1,0.05
2067,8164781,https://www.airbnb.com/rooms/8164781,"B&B Fior di Gelsomino""Bella Rosina""",5851277,Beatrice,2013-04-09,"Florence, Tuscany, Italy",2,Gavinana Galluzzo,43.75149,11.2434,Private room,2,1.0,$80.00,0,0,0,260,0,0,,f,2,0.16
2068,8165945,https://www.airbnb.com/rooms/8165945,Unique Original Charm 2 Bath Ponte Vecchio,22330447,Shelby And Nicco,2014-10-09,"Florence, Tuscany, Italy",4,Centro Storico,43.76867,11.25329,Entire home/apt,6,2.0,$214.00,15,45,75,165,4,1,,t,4,1.41
2069,8166160,https://www.airbnb.com/rooms/8166160,Flat - A/C - lift - wifi - parking,5471208,Alessandro,2013-03-15,IT,7,Rifredi,43.79354,11.23438,Entire home/apt,4,1.0,$60.00,0,0,0,159,0,0,,t,5,1.39
2070,8182107,https://www.airbnb.com/rooms/8182107,La Sosta del Granduca,39492081,Federico,2015-07-25,"Florence, Tuscany, Italy",1,Centro Storico,43.77428,11.24212,Entire home/apt,6,2.0,$51.00,18,32,51,314,21,3,,t,1,3.08
2071,8199954,https://www.airbnb.com/rooms/8199954,bilocale SOLE,43248612,Enrico,2015-09-03,"Florence, Tuscany, Italy",2,Campo di Marte,43.78847,11.27041,Entire home/apt,5,1.0,$50.00,0,0,0,260,0,0,,t,2,0.7
2072,8200290,https://www.airbnb.com/rooms/8200290,Luna studio,43248612,Enrico,2015-09-03,"Florence, Tuscany, Italy",2,Campo di Marte,43.78804,11.27049,Entire home/apt,2,,$40.00,0,0,0,227,1,0,,f,2,2.01
2073,8204117,https://www.airbnb.com/rooms/8204117,Camera matrimoniale,43263949,Francesca,2015-09-03,"Florence, Tuscany, Italy",1,Centro Storico,43.78816,11.23327,Private room,2,1.0,$54.00,0,0,0,0,0,0,,f,1,0.01
