,id,listing_url,last_scraped,name,host_id,host_name,host_since,host_location,host_total_listings_count,neighbourhood_cleansed,latitude,longitude,room_type,accommodates,bedrooms,price,availability_30,availability_60,availability_90,availability_365,number_of_reviews_ltm,number_of_reviews_l30d,license,instant_bookable,calculated_host_listings_count,reviews_per_month,days_rented,rounded_revenue,is_hotel,is_entire,many_listings,only_1_listing,only_2_listings,host_florence,has_liscense,is_instant_bookable,global_total_listings,dist_duomo,is_centro,is_gavinana,is_isolotto,is_rifredi,is_campo,census_tract_id,listing_revenue_exceed_LTR,effected_by_policy_1,effected_by_policy_2,effected_by_policy_3,commercial,num_residents_census,num_households_census,res_buildings_census,num_bedrooms_census,num_household_renters_census,num_household_owners_census
0,24469,https://www.airbnb.com/rooms/24469,2021-12-17,Fortezza/City Centre Modern Apt 2+2,99178,Benedetta And Lorenzo,2010-03-26,"Florence, Toscana, Italy",5,Centro Storico,43.7821,11.24392,Entire home/apt,4,1.0,70.0,26,56,86,361,0,0,,f,4,0.04,0.0,0.0,0,1,1,0,0,1,0,0,9,1394.8848050140261,1,0,0,0,0,480170061380.0,0,0,1,1,1,62,35,3,33,12,21
1,24470,https://www.airbnb.com/rooms/24470,2021-12-17,Fortezza/City Centre Modern Apt 2+1,99178,Benedetta And Lorenzo,2010-03-26,"Florence, Toscana, Italy",5,Centro Storico,43.78202,11.24399,Entire home/apt,3,1.0,70.0,0,0,0,107,0,0,,f,4,0.02,0.0,0.0,0,1,1,0,0,1,0,0,9,1384.585878741327,1,0,0,0,0,480170061366.0,0,0,1,1,1,102,59,11,79,11,43
2,24471,https://www.airbnb.com/rooms/24471,2021-12-17,Fortezza/City Centre Modern Apt 4+2,99178,Benedetta And Lorenzo,2010-03-26,"Florence, Toscana, Italy",5,Centro Storico,43.78202,11.24399,Entire home/apt,6,2.0,135.0,0,0,0,107,0,0,,f,4,,0.0,0.0,0,1,1,0,0,1,0,0,9,1384.585878741327,1,0,0,0,0,480170061366.0,0,0,1,1,1,102,59,11,79,11,43
3,24472,https://www.airbnb.com/rooms/24472,2021-12-17,Fortezza/City Centre Modern Apt 4+2,99178,Benedetta And Lorenzo,2010-03-26,"Florence, Toscana, Italy",5,Centro Storico,43.78202,11.24399,Entire home/apt,6,2.0,120.0,26,56,86,361,0,0,,f,4,0.02,0.0,0.0,0,1,1,0,0,1,0,0,9,1384.585878741327,1,0,0,0,0,480170061366.0,0,0,1,1,1,102,59,11,79,11,43
4,26738,https://www.airbnb.com/rooms/26738,2021-12-17,N4U Guest House Florence,113883,N4U Guest House,2010-04-26,"Florence, Toscana, Italy",2,Centro Storico,43.77017,11.25754,Private room,16,7.0,139.0,12,42,72,347,0,0,,f,2,0.22,0.0,0.0,0,0,0,0,1,1,0,0,4,348.3585367900966,1,0,0,0,0,480170060700.0,0,0,1,0,0,15,8,2,13,3,1
5,31840,https://www.airbnb.com/rooms/31840,2021-12-17,A Residenza Martin  Classic room,380378,Officina 360,2011-02-07,"Florence, Tuscany, Italy",36,Centro Storico,43.77709,11.25216,Private room,2,1.0,57.0,20,48,75,338,2,0,,t,26,0.87,7.428571428571429,423.43,0,0,1,0,0,1,0,1,62,540.4705181558066,1,0,0,0,0,480170061121.0,0,0,1,1,1,83,45,6,127,9,35
6,32120,https://www.airbnb.com/rooms/32120,2021-12-17,Welcome at Corte Verde in Florence,99235,Lucia,2010-03-26,"Florence, Toscana, Italy",1,Gavinana Galluzzo,43.76157,11.27741,Entire home/apt,2,1.0,75.0,0,0,0,0,1,0,,t,1,0.12,3.7142857142857144,278.57,0,1,0,1,0,1,0,1,2,2147.792725321319,0,1,0,0,0,480170060237.0,0,0,0,0,0,459,224,81,254,37,163
7,32180,https://www.airbnb.com/rooms/32180,2021-12-17,Charming Gem - Oltrarno City centre,13925330,Cesare,2014-04-05,"Florence, Tuscany, Italy",2,Centro Storico,43.76832,11.24348,Entire home/apt,4,2.0,89.0,4,4,19,263,1,0,,t,2,0.15,3.7142857142857144,330.57,0,1,0,0,1,1,0,1,4,1139.3893144294555,1,0,0,0,0,480170060510.0,0,0,1,0,0,526,299,64,368,98,157
8,32395,https://www.airbnb.com/rooms/32395,2021-12-17,your room in florence,140170,Fabio,2010-06-07,"Florence, Toscana, Italy",5,Centro Storico,43.76268,11.24149,Hotel room,2,1.0,60.0,15,45,75,338,20,2,,t,5,3.84,74.28571428571429,4457.14,1,0,1,0,0,1,0,1,10,1644.7909447187235,1,0,0,0,0,480170060409.0,0,0,1,1,1,295,134,29,143,54,62
9,39115,https://www.airbnb.com/rooms/39115,2021-12-17,Central Double Shared Bathroom,167739,Lorenzo,2010-07-15,"Florence, Toscana, Italy",10,Centro Storico,43.77525,11.25258,Private room,2,1.0,65.0,3,6,19,270,2,0,,f,11,0.36,7.428571428571429,482.86,0,0,1,0,0,1,0,0,21,364.5251050727623,1,0,0,0,0,480170061025.0,0,0,1,1,1,86,56,17,64,18,29
